strain_entity_id,outer_fold,control_type,seed,replicate,cosine_TRUE_control,embedding_displacement,l2_distance,fold_matched_lineage95_encoder,phenotype_labels_used,encoder_retrained,encoder_finetuned
STRAIN_000538,5,TIGHTBLOCK50,442,5,0.9916486740112305,0.008351325988769531,0.12923821806907654,True,False,False,False
STRAIN_000549,5,TIGHTBLOCK50,42,1,0.9926389455795288,0.007361054420471191,0.12133510410785675,True,False,False,False
STRAIN_000549,5,TIGHTBLOCK50,142,2,0.9916994571685791,0.008300542831420898,0.12884536385536194,True,False,False,False
STRAIN_000549,5,TIGHTBLOCK50,242,3,0.9917497634887695,0.008250236511230469,0.12845462560653687,True,False,False,False
STRAIN_000549,5,TIGHTBLOCK50,342,4,0.992612361907959,0.007387638092041016,0.12155375629663467,True,False,False,False
STRAIN_000549,5,TIGHTBLOCK50,442,5,0.9920147657394409,0.007985234260559082,0.1263740062713623,True,False,False,False
STRAIN_000552,5,TIGHTBLOCK50,42,1,0.9937477111816406,0.006252288818359375,0.11182410269975662,True,False,False,False
STRAIN_000552,5,TIGHTBLOCK50,142,2,0.9939426183700562,0.006057381629943848,0.11006737500429153,True,False,False,False
STRAIN_000552,5,TIGHTBLOCK50,242,3,0.9940654635429382,0.005934536457061768,0.10894517600536346,True,False,False,False
STRAIN_000552,5,TIGHTBLOCK50,342,4,0.9937438368797302,0.006256163120269775,0.11185894906520844,True,False,False,False
STRAIN_000552,5,TIGHTBLOCK50,442,5,0.9937254190444946,0.006274580955505371,0.11202268302440643,True,False,False,False
STRAIN_000556,5,TIGHTBLOCK50,42,1,0.9919135570526123,0.008086442947387695,0.12717269361019135,True,False,False,False
STRAIN_000556,5,TIGHTBLOCK50,142,2,0.994304358959198,0.005695641040802002,0.10672978311777115,True,False,False,False
STRAIN_000556,5,TIGHTBLOCK50,242,3,0.992913544178009,0.007086455821990967,0.11905009299516678,True,False,False,False
STRAIN_000556,5,TIGHTBLOCK50,342,4,0.9919826984405518,0.008017301559448242,0.12662726640701294,True,False,False,False
STRAIN_000556,5,TIGHTBLOCK50,442,5,0.9926602244377136,0.007339775562286377,0.12115886807441711,True,False,False,False
STRAIN_000557,5,TIGHTBLOCK50,42,1,0.9932987093925476,0.006701290607452393,0.11576876789331436,True,False,False,False
STRAIN_000557,5,TIGHTBLOCK50,142,2,0.9912632703781128,0.008736729621887207,0.13218705356121063,True,False,False,False
STRAIN_000557,5,TIGHTBLOCK50,242,3,0.9919910430908203,0.008008956909179688,0.12656182050704956,True,False,False,False
STRAIN_000557,5,TIGHTBLOCK50,342,4,0.9919493198394775,0.008050680160522461,0.1268903911113739,True,False,False,False
STRAIN_000557,5,TIGHTBLOCK50,442,5,0.9933154582977295,0.006684541702270508,0.11562439054250717,True,False,False,False
STRAIN_000563,5,TIGHTBLOCK50,42,1,0.9903178215026855,0.009682178497314453,0.13915544748306274,True,False,False,False
STRAIN_000563,5,TIGHTBLOCK50,142,2,0.9938859939575195,0.006114006042480469,0.11058055609464645,True,False,False,False
STRAIN_000563,5,TIGHTBLOCK50,242,3,0.9910988807678223,0.008901119232177734,0.13342523574829102,True,False,False,False
STRAIN_000563,5,TIGHTBLOCK50,342,4,0.993251621723175,0.006748378276824951,0.11617540568113327,True,False,False,False
STRAIN_000563,5,TIGHTBLOCK50,442,5,0.9902911186218262,0.009708881378173828,0.13934765756130219,True,False,False,False
STRAIN_000564,5,TIGHTBLOCK50,42,1,0.9951010942459106,0.0048989057540893555,0.0989842414855957,True,False,False,False
STRAIN_000564,5,TIGHTBLOCK50,142,2,0.9905291795730591,0.009470820426940918,0.13762889802455902,True,False,False,False
STRAIN_000564,5,TIGHTBLOCK50,242,3,0.9890249967575073,0.010975003242492676,0.14815549552440643,True,False,False,False
STRAIN_000564,5,TIGHTBLOCK50,342,4,0.9931853413581848,0.0068146586418151855,0.1167445108294487,True,False,False,False
STRAIN_000564,5,TIGHTBLOCK50,442,5,0.9893165826797485,0.010683417320251465,0.14617334306240082,True,False,False,False
STRAIN_000566,5,TIGHTBLOCK50,42,1,0.9891239404678345,0.010876059532165527,0.14748576283454895,True,False,False,False
STRAIN_000566,5,TIGHTBLOCK50,142,2,0.9907300472259521,0.009269952774047852,0.13616079092025757,True,False,False,False
STRAIN_000566,5,TIGHTBLOCK50,242,3,0.9874686598777771,0.0125313401222229,0.15831227600574493,True,False,False,False
STRAIN_000566,5,TIGHTBLOCK50,342,4,0.9929037690162659,0.007096230983734131,0.1191321462392807,True,False,False,False
STRAIN_000566,5,TIGHTBLOCK50,442,5,0.9928234815597534,0.007176518440246582,0.11980417370796204,True,False,False,False
STRAIN_000567,5,TIGHTBLOCK50,42,1,0.9920009970664978,0.007999002933502197,0.12648282945156097,True,False,False,False
STRAIN_000567,5,TIGHTBLOCK50,142,2,0.9927439093589783,0.0072560906410217285,0.12046603113412857,True,False,False,False
STRAIN_000567,5,TIGHTBLOCK50,242,3,0.9920570850372314,0.007942914962768555,0.12603947520256042,True,False,False,False
STRAIN_000567,5,TIGHTBLOCK50,342,4,0.9876437187194824,0.012356281280517578,0.1572020798921585,True,False,False,False
STRAIN_000567,5,TIGHTBLOCK50,442,5,0.9870316386222839,0.012968361377716064,0.16104908287525177,True,False,False,False
STRAIN_000569,5,TIGHTBLOCK50,42,1,0.9917262196540833,0.008273780345916748,0.12863709032535553,True,False,False,False
STRAIN_000569,5,TIGHTBLOCK50,142,2,0.9905264377593994,0.009473562240600586,0.13764791190624237,True,False,False,False
STRAIN_000569,5,TIGHTBLOCK50,242,3,0.9913630485534668,0.008636951446533203,0.13143019378185272,True,False,False,False
STRAIN_000569,5,TIGHTBLOCK50,342,4,0.9928470849990845,0.007152915000915527,0.11960628628730774,True,False,False,False
STRAIN_000569,5,TIGHTBLOCK50,442,5,0.9913709759712219,0.008629024028778076,0.1313696652650833,True,False,False,False
STRAIN_000576,5,TIGHTBLOCK50,42,1,0.9882867336273193,0.011713266372680664,0.1530575305223465,True,False,False,False
STRAIN_000576,5,TIGHTBLOCK50,142,2,0.9864991903305054,0.013500809669494629,0.1643216609954834,True,False,False,False
STRAIN_000576,5,TIGHTBLOCK50,242,3,0.9817319512367249,0.018268048763275146,0.1911444216966629,True,False,False,False
STRAIN_000576,5,TIGHTBLOCK50,342,4,0.9845017194747925,0.01549828052520752,0.17605869472026825,True,False,False,False
STRAIN_000576,5,TIGHTBLOCK50,442,5,0.9847487211227417,0.0152512788772583,0.1746501326560974,True,False,False,False
STRAIN_000589,5,TIGHTBLOCK50,42,1,0.9914385676383972,0.008561432361602783,0.13085488975048065,True,False,False,False
STRAIN_000589,5,TIGHTBLOCK50,142,2,0.9916292428970337,0.008370757102966309,0.12938915193080902,True,False,False,False
STRAIN_000589,5,TIGHTBLOCK50,242,3,0.9925800561904907,0.007419943809509277,0.12181944400072098,True,False,False,False
STRAIN_000589,5,TIGHTBLOCK50,342,4,0.9907146692276001,0.009285330772399902,0.13627487421035767,True,False,False,False
STRAIN_000589,5,TIGHTBLOCK50,442,5,0.9928264617919922,0.0071735382080078125,0.11977928131818771,True,False,False,False
STRAIN_000590,5,TIGHTBLOCK50,42,1,0.9772305488586426,0.022769451141357422,0.21339887380599976,True,False,False,False
STRAIN_000590,5,TIGHTBLOCK50,142,2,0.9803741574287415,0.019625842571258545,0.19812041521072388,True,False,False,False
STRAIN_000590,5,TIGHTBLOCK50,242,3,0.9790176749229431,0.020982325077056885,0.20485273003578186,True,False,False,False
STRAIN_000590,5,TIGHTBLOCK50,342,4,0.9781895279884338,0.021810472011566162,0.20885667204856873,True,False,False,False
STRAIN_000590,5,TIGHTBLOCK50,442,5,0.9833321571350098,0.016667842864990234,0.18258126080036163,True,False,False,False
STRAIN_000592,5,TIGHTBLOCK50,42,1,0.9926016330718994,0.007398366928100586,0.12164170295000076,True,False,False,False
STRAIN_000592,5,TIGHTBLOCK50,142,2,0.9936758279800415,0.006324172019958496,0.11246582865715027,True,False,False,False
STRAIN_000592,5,TIGHTBLOCK50,242,3,0.9938244819641113,0.006175518035888672,0.1111353188753128,True,False,False,False
STRAIN_000592,5,TIGHTBLOCK50,342,4,0.9926490783691406,0.007350921630859375,0.12125174701213837,True,False,False,False
STRAIN_000592,5,TIGHTBLOCK50,442,5,0.9946799278259277,0.005320072174072266,0.10315142571926117,True,False,False,False
STRAIN_000593,5,TIGHTBLOCK50,42,1,0.9913575649261475,0.008642435073852539,0.13147181272506714,True,False,False,False
STRAIN_000593,5,TIGHTBLOCK50,142,2,0.9897053837776184,0.010294616222381592,0.14348915219306946,True,False,False,False
STRAIN_000593,5,TIGHTBLOCK50,242,3,0.9944593906402588,0.005540609359741211,0.10526655614376068,True,False,False,False
STRAIN_000593,5,TIGHTBLOCK50,342,4,0.9901222586631775,0.00987774133682251,0.14055399596691132,True,False,False,False
