door_accession,door_accession_key,door_assembly_number,door_version,door_prefix,genome_dir,feature_table_member,operon_member,has_operon_label_file
GCA_000021705.1,000021705.1,000021705,1,GCA,data/Candidatus_Hamiltonella_defensa_5AT_(Acyrthosiphon_pisum),data/Candidatus_Hamiltonella_defensa_5AT_(Acyrthosiphon_pisum)/GCA_000021705.1_ASM2170v1_feature_table.txt,data/Candidatus_Hamiltonella_defensa_5AT_(Acyrthosiphon_pisum)/Candidatus_Hamiltonella_defensa_5AT_(Acyrthosiphon_pisum)_NC_012751_operon_classification_output.txt,True
GCA_000021725.1,000021725.1,000021725,1,GCA,data/Nautilia_profundicola_AmH,data/Nautilia_profundicola_AmH/GCA_000021725.1_ASM2172v1_feature_table.txt,data/Nautilia_profundicola_AmH/Nautilia_profundicola_AmH_NC_012115_operon_classification_output.txt,True
GCA_000021745.1,000021745.1,000021745,1,GCA,data/Methylocella_silvestris_BL2,data/Methylocella_silvestris_BL2/GCA_000021745.1_ASM2174v1_feature_table.txt,data/Methylocella_silvestris_BL2/Methylocella_silvestris_BL2_NC_011666_operon_classification_output.txt,True
GCA_000021765.1,000021765.1,000021765,1,GCA,data/Thauera_sp._MZ1T,data/Thauera_sp._MZ1T/GCA_000021765.1_ASM2176v1_feature_table.txt,data/Thauera_sp._MZ1T/Thauera_sp._MZ1T_NC_011662_operon_classification_output.txt,True
GCA_000021785.1,000021785.1,000021785,1,GCA,data/Bacillus_cereus_AH820,data/Bacillus_cereus_AH820/GCA_000021785.1_ASM2178v1_feature_table.txt,data/Bacillus_cereus_AH820/Bacillus_cereus_AH820_NC_011773_operon_classification_output.txt,True
GCA_000021805.1,000021805.1,000021805,1,GCA,data/Cyanothece_sp._PCC_8801,data/Cyanothece_sp._PCC_8801/GCA_000021805.1_ASM2180v1_feature_table.txt,data/Cyanothece_sp._PCC_8801/Cyanothece_sp._PCC_8801_NC_011726_operon_classification_output.txt,True
GCA_000021825.1,000021825.1,000021825,1,GCA,data/Cyanothece_sp._PCC_7424,data/Cyanothece_sp._PCC_7424/GCA_000021825.1_ASM2182v1_feature_table.txt,data/Cyanothece_sp._PCC_7424/Cyanothece_sp._PCC_7424_NC_011729_operon_classification_output.txt,True
GCA_000021845.1,000021845.1,000021845,1,GCA,data/Methylobacterium_chloromethanicum_CM4,data/Methylobacterium_chloromethanicum_CM4/GCA_000021845.1_ASM2184v1_feature_table.txt,data/Methylobacterium_chloromethanicum_CM4/Methylobacterium_chloromethanicum_CM4_NC_011757_operon_classification_output.txt,True
GCA_000021865.1,000021865.1,000021865,1,GCA,data/Rhodobacter_capsulatus_SB_1003,data/Rhodobacter_capsulatus_SB_1003/GCA_000021865.1_ASM2186v1_feature_table.txt,data/Rhodobacter_capsulatus_SB_1003/Rhodobacter_capsulatus_SB_1003_NC_014034_operon_classification_output.txt,True
GCA_000021885.1,000021885.1,000021885,1,GCA,data/Haemophilus_parasuis_SH0165,data/Haemophilus_parasuis_SH0165/GCA_000021885.1_ASM2188v1_feature_table.txt,data/Haemophilus_parasuis_SH0165/Haemophilus_parasuis_SH0165_NC_011852_operon_classification_output.txt,True
GCA_000021905.1,000021905.1,000021905,1,GCA,data/Desulfatibacillum_alkenivorans_AK-01,data/Desulfatibacillum_alkenivorans_AK-01/GCA_000021905.1_ASM2190v1_feature_table.txt,data/Desulfatibacillum_alkenivorans_AK-01/Desulfatibacillum_alkenivorans_AK-01_NC_011768_operon_classification_output.txt,True
GCA_000021925.1,000021925.1,000021925,1,GCA,data/Desulfitobacterium_hafniense_DCB-2,data/Desulfitobacterium_hafniense_DCB-2/GCA_000021925.1_ASM2192v1_feature_table.txt,data/Desulfitobacterium_hafniense_DCB-2/Desulfitobacterium_hafniense_DCB-2_NC_011830_operon_classification_output.txt,True
GCA_000021945.1,000021945.1,000021945,1,GCA,data/Chloroflexus_aggregans_DSM_9485,data/Chloroflexus_aggregans_DSM_9485/GCA_000021945.1_ASM2194v1_feature_table.txt,data/Chloroflexus_aggregans_DSM_9485/Chloroflexus_aggregans_DSM_9485_NC_011831_operon_classification_output.txt,True
GCA_000021965.1,000021965.1,000021965,1,GCA,data/Methanosphaerula_palustris_E1-9c,data/Methanosphaerula_palustris_E1-9c/GCA_000021965.1_ASM2196v1_feature_table.txt,data/Methanosphaerula_palustris_E1-9c/Methanosphaerula_palustris_E1-9c_NC_011832_operon_classification_output.txt,True
GCA_000021985.1,000021985.1,000021985,1,GCA,data/Thioalkalivibrio_sulfidophilus_HL-EbGr7,data/Thioalkalivibrio_sulfidophilus_HL-EbGr7/GCA_000021985.1_ASM2198v1_feature_table.txt,data/Thioalkalivibrio_sulfidophilus_HL-EbGr7/Thioalkalivibrio_sulfidophilus_HL-EbGr7_NC_011901_operon_classification_output.txt,True
